Date,Open,High,Low,Close,Volume
05/03/2024,"5.23","5.59","5.22","5.57","2,281,306"
05/02/2024,"5.20","5.28","5.07","5.16","1,459,194"
05/01/2024,"5.08","5.26","4.97","5.16","2,413,833"
04/30/2024,"5.50","5.50","5.06","5.06","2,004,006"
04/29/2024,"5.48","5.73","5.36","5.51","1,743,922"
04/26/2024,"5.43","5.57","5.35","5.44","1,461,672"
04/25/2024,"5.34","5.50","5.16","5.43","1,404,314"
04/24/2024,"5.50","5.57","5.33","5.45","1,590,962"
04/23/2024,"5.14","5.55","5.14","5.50","2,372,083"
04/22/2024,"5.15","5.24","5.03","5.16","1,653,179"
04/19/2024,"5.21","5.50","5.13","5.20","2,043,168"
04/18/2024,"5.01","5.32","4.98","5.31","1,661,466"
04/17/2024,"5.04","5.15","4.91","5.01","1,572,640"
04/16/2024,"4.75","5.29","4.69","5.04","2,818,148"
04/15/2024,"5.05","5.12","4.85","4.86","2,036,544"
04/12/2024,"5.22","5.27","4.98","5.08","2,010,912"
04/11/2024,"5.14","5.40","4.99","5.24","3,208,103"
04/10/2024,"4.96","5.11","4.90","5.00","2,800,525"
04/09/2024,"5.17","5.27","5.00","5.08","2,818,071"
04/08/2024,"5.41","5.42","4.92","5.12","6,150,576"
04/05/2024,"5.69","5.70","5.46","5.52","4,397,011"
04/04/2024,"6.37","6.40","5.63","5.70","13,778,760"
04/03/2024,"6.42","6.42","5.91","5.98","7,039,914"
04/02/2024,"6.50","6.61","6.25","6.35","2,684,501"
04/01/2024,"6.60","6.86","6.37","6.65","5,668,654"
03/28/2024,"6.51","6.69","6.10","6.25","6,930,366"
03/27/2024,"7.17","7.25","6.68","6.88","7,190,808"
03/26/2024,"6.21","7.31","6.14","7.13","10,146,820"
03/25/2024,"6.41","6.67","6.08","6.15","4,626,335"
03/22/2024,"6.04","6.91","5.82","6.40","10,723,080"
03/21/2024,"5.71","6.25","5.23","6.23","10,281,200"
03/20/2024,"5.44","5.89","5.38","5.61","3,388,130"
03/19/2024,"5.25","5.59","5.05","5.49","3,143,838"
03/18/2024,"5.48","5.64","5.28","5.32","2,243,648"
03/15/2024,"5.11","5.98","5.07","5.49","5,355,656"
03/14/2024,"5.31","5.38","5.04","5.07","2,722,026"
03/13/2024,"5.80","5.82","5.28","5.29","3,448,801"
03/12/2024,"5.83","5.97","5.67","5.81","2,583,688"
03/11/2024,"5.38","6.17","5.25","5.95","5,473,688"
03/08/2024,"5.11","5.55","4.95","5.47","4,410,747"
03/07/2024,"4.68","5.13","4.46","5.12","6,497,540"
03/06/2024,"5.19","5.45","4.82","4.90","5,059,513"
03/05/2024,"5.18","5.47","5.03","5.30","4,320,474"
03/04/2024,"5.80","5.85","5.15","5.33","8,209,534"
03/01/2024,"5.75","6.00","5.53","5.85","7,212,225"
02/29/2024,"5.66","6.28","5.53","6.03","11,465,120"
02/28/2024,"6.56","7.21","5.83","5.88","25,492,590"
02/27/2024,"5.16","6.72","4.90","6.71","35,181,359"
02/26/2024,"7.63","7.64","5.93","6.27","45,448,152"
02/23/2024,"11.60","11.85","9.34","9.59","98,812,875"
02/22/2024,"9.00","10.28","8.19","8.28","39,840,070"
02/21/2024,"12.89","13.25","8.00","9.32","36,044,422"
02/20/2024,"9.49","12.05","8.77","10.99","64,341,121"
02/16/2024,"7.83","8.73","7.17","7.32","15,558,160"
02/15/2024,"5.30","6.96","5.13","6.70","22,997,070"
02/14/2024,"4.78","5.34","4.65","4.98","5,324,201"
02/13/2024,"5.16","6.03","4.87","5.15","9,376,666"
02/12/2024,"6.14","6.82","5.02","5.30","18,753,830"
02/09/2024,"3.85","5.48","3.83","4.99","8,989,737"
