date,trump_percentage,kamala_percentage,trump_sma_7,kamala_sma_7,trump_ema_7,kamala_ema_7,trump_linear_trend,kamala_linear_trend,trump_polynomial_trend,kamala_polynomial_trend
2022-06-22,49.5,42.0,42.72857142857142,39.57142857142857,43.55897283116115,39.22642007144978,44.01403791560733,40.391616155262454,43.531063456088305,39.64478156156838
2022-06-27,41.833333333333336,42.75,42.13333333333333,38.67857142857143,43.127562956704196,40.107315053587335,44.023646311252605,40.42754613742363,43.49338489584625,39.60759063065052
2022-06-30,44.0,39.0,42.740476190476194,38.892857142857146,43.34567221752815,39.8304862901905,44.02941134864,40.44910412672016,43.47109952289611,39.58577362075448
2022-07-09,39.75,36.0,42.740476190476194,39.035714285714285,42.44675416314611,38.87286471764288,44.04670646080149,40.513778094609734,43.40569133590907,39.52256156131625
2022-07-18,43.75,44.25,42.41904761904762,39.57142857142857,42.77256562235958,40.21714853823216,44.06400157296298,40.57845206250022,43.342455046251416,39.462707959115505
2022-07-28,41.0,37.75,42.34761904761905,39.535714285714285,42.32942421676968,39.60036140367412,44.083218364253526,40.650312026822576,43.27473979257047,39.40014288760722
2022-08-01,41.5,43.5,43.04761904761905,40.75,42.122068162577264,40.57527105275559,44.090905080769744,40.67905601255188,43.24840446934104,39.37627780623734
2022-08-17,40.12,35.5,41.70761904761905,39.82142857142857,41.621551121932946,39.30645328956669,44.121651946834845,40.79403195546729,43.14735335111618,39.2874514721334
2022-08-24,47.43333333333334,43.0,42.50761904761905,39.857142857142854,43.07449667478304,40.22983996717502,44.13510370073823,40.84433393049312,43.105301978066564,39.25192767754197
2022-08-28,38.75,38.5,41.75761904761905,39.785714285714285,41.99337250608728,39.79737997538126,44.142790417254446,40.87307791622152,43.081862521357834,39.23254053853452
2022-09-08,41.9,40.5,42.06476190476191,40.42857142857143,41.97002937956546,39.973034981535946,44.163928887674274,40.95212387697575,43.01961613073945,39.18264655955136
2022-09-15,39.64,38.0,41.47761904761905,39.535714285714285,41.38752203467409,39.47977623615196,44.177380641577656,41.00242585200158,42.98169404640794,39.153507977724075
2022-09-18,47.94,42.4,42.46904761904762,40.199999999999996,43.02564152600557,40.209832177113974,44.18314567896482,41.023983841298104,42.965843928046525,39.141641952097416
2022-09-22,49.699999999999996,42.0,43.64047619047619,39.98571428571428,44.69423114450417,40.65737413283548,44.19083239548104,41.05272782702741,42.945085825398564,39.12640105560422
2022-10-03,37.5,39.5,43.26619047619048,40.55714285714286,42.89567335837813,40.36803059962661,44.21197086590064,41.13177378778164,42.89021316636354,39.08790924400091
2022-10-11,41.75,54.0,42.45428571428572,42.128571428571426,42.6092550187836,43.77602294971996,44.2273442989333,41.18926175923934,42.85234360769391,39.063066344708204
2022-10-12,41.0,37.5,42.77571428571429,41.98571428571428,42.2069412640877,42.20701721228997,44.22926597806236,41.196447755672125,42.84773057233542,39.06014756299555
2022-10-13,46.0,39.5,43.36142857142857,41.84285714285714,43.15520594806578,41.53026290921748,44.23118765719141,41.203633752104,42.843144352547824,39.057270243763924
2022-10-17,46.6,42.0,44.355714285714285,42.41428571428571,44.01640446104933,41.64769718191311,44.23887437370763,41.2323777378333,42.825067607685924,39.046175591647625
2022-11-02,44.5,37.5,43.86428571428571,41.714285714285715,44.137303345787004,40.61077288643483,44.269621239772505,41.34735368074871,42.75705079548061,39.008430970832705
2022-11-17,43.0,40.5,42.90714285714286,41.5,43.85297750934025,40.58307966482612,44.29844642670855,41.455143627232246,42.69951918721199,38.982685405761
2022-12-05,39.42857142857143,38.5,43.182653061224485,41.357142857142854,42.74687598914805,40.06230974861959,44.333036651031534,41.58449156301231,42.63844488374889,38.96410506777465
2022-12-14,44.8,42.0,43.618367346938776,39.642857142857146,43.26015699186104,40.546732311464694,44.35033176319325,41.64916553090279,42.61116558033973,38.95985258370638
2022-12-15,44.0,40.0,44.046938775510206,40.0,43.44511774389578,40.41004923359852,44.35225344232231,41.656351527334664,42.608268613927066,38.95958739705384
2023-01-16,38.8,37.5,43.018367346938774,39.714285714285715,42.28383830792184,39.68253692519889,44.41374717445228,41.88630341316639,42.52972326334566,38.97299360670149
2023-01-19,44.666666666666664,40.0,42.7421768707483,39.42857142857143,42.87954539760805,39.76190269389917,44.41951221183945,41.90786140246291,42.52376734931022,38.97642721608281
2023-01-24,46.333333333333336,40.0,43.00408163265306,39.785714285714285,43.74299238153937,39.82142702042437,44.42912060748472,41.94379138462409,42.51437709573656,38.98297914676368
2023-01-29,39.6,36.5,42.518367346938774,39.214285714285715,42.70724428615453,38.99107026531828,44.43872900312999,41.97972136678527,42.50565718207508,38.9905676394701
2023-02-11,44.4,47.0,43.22857142857142,40.42857142857143,43.1304332146159,40.99330269898871,44.46371083180793,42.07313932040415,42.48612259142101,39.015148824080825
2023-02-12,42.666666666666664,42.0,42.92380952380952,40.42857142857143,43.01449157762859,41.24497702424153,44.465632510936985,42.080325316836024,42.484807626344264,39.01732992194593
2023-02-16,45.333333333333336,39.5,43.114285714285714,40.357142857142854,43.59420201655478,40.808732768181144,44.4733192274532,42.10906930256533,42.47981589753181,39.02646893449128
2023-02-19,40.25,39.0,43.32142857142857,40.57142857142857,42.758151512416084,40.35654957613586,44.47908426484037,42.130627291861856,42.476353644393384,39.03375855088234
2023-02-23,45.25,43.0,43.404761904761905,41.0,43.381113634312065,41.01741218210189,44.486770981356585,42.15937127759025,42.47211269568652,39.0440585128963
2023-02-27,42.8,41.0,42.9,41.142857142857146,43.23583522573405,41.013059136576416,44.494457697872804,42.18811526331956,42.46830076538026,39.055021872743964
2023-03-20,40.4,38.333333333333336,43.01428571428571,41.40476190476191,42.52687641930054,40.343127685765644,44.53481295958318,42.339021188396146,42.45532668661326,39.12346340343356
2023-03-23,44.666666666666664,38.0,43.05238095238095,40.11904761904763,43.06182398114207,39.757345764324235,44.54057799697034,42.36057917769358,42.45443853363395,39.13473341241479
2023-04-04,41.8,34.5,42.92857142857143,39.04761904761905,42.74636798585655,38.443009323243174,44.563638146519,42.44681113487968,42.45329914800823,39.18354506790638
2023-04-19,44.25,39.5,42.773809523809526,39.04761904761905,43.12227598939241,38.70725699243238,44.59246333345504,42.55460108136322,42.45730466209352,39.252955777570605
2023-04-23,42.81666666666666,40.125,43.14047619047619,39.208333333333336,43.045873658710974,39.06169274432428,44.60015004997126,42.58334506709252,42.459391713142395,39.27304087206721
2023-04-24,38.5,37.5,42.17619047619048,38.42261904761905,41.90940524403323,38.67126955824321,44.60207172910032,42.590531063524395,42.45998051017523,39.27816580235958
2023-05-17,42.0,38.75,42.06190476190476,38.10119047619048,41.932053933024925,38.69095216868241,44.64627034906857,42.755808981465634,42.4809233834967,39.407482819631696
2023-05-18,47.78333333333333,40.666666666666664,43.11666666666667,38.43452380952381,43.39487378310203,39.18488079317847,44.64819202819763,42.762994977898416,42.48215570580214,39.413602847605944
2023-05-31,40.142857142857146,40.0,42.4704081632653,38.720238095238095,42.58186962304081,39.38866059488385,44.673173856875565,42.8564129315173,42.500615931116045,39.49693629518151
2023-06-11,40.6,38.0,42.29897959183673,39.220238095238095,42.08640221728061,39.04149544616289,44.694312327295165,42.93545889227153,42.51977551076561,39.57292225211859
2023-06-15,44.5,40.0,42.334693877551025,39.29166666666667,42.689801662960456,39.28112158462217,44.701999043811384,42.96420287800083,42.527547038160264,39.60179738327861
2023-06-25,38.5,38.5,41.71802721088436,39.05952380952381,41.64235124722034,39.08584118846663,44.72121583510216,43.03606284232228,42.548852804116905,39.67688757739961
2023-07-06,41.57142857142857,37.5,42.15680272108843,39.05952380952381,41.6246205782724,38.68938089134997,44.74235430552176,43.11510880307742,42.57538611534983,39.76427570357919
2023-07-20,44.666666666666664,38.5,42.53775510204082,39.023809523809526,42.38513210037097,38.64203566851248,44.76925781332852,43.21571275312817,42.613848155364394,39.88275288045406
2023-07-24,43.5,40.0,41.92585034013605,38.92857142857143,42.66384907527822,38.98152675138436,44.77694452984497,43.24445673885748,42.625802597031,39.91809614934027
2023-08-06,40.4,35.5,41.96258503401361,38.285714285714285,42.09788680645867,38.11114506353827,44.80192635852268,43.33787469247636,42.66761743463576,40.037543373182416
2023-08-23,44.0,40.0,42.44829931972789,38.57142857142857,42.573415104844,38.5833587976537,44.83459490371661,43.46003663182455,42.729135831817985,40.204316509887576
2023-09-14,42.0,41.0,42.09115646258503,38.714285714285715,42.430061328633,39.18751909824027,44.876871844556035,43.61812855333301,42.82025089394301,40.43792794831097
2023-09-26,43.0,41.0,42.73401360544217,39.07142857142857,42.57254599647475,39.640639323680205,44.89993199410492,43.70436051052002,42.87541998643428,40.57381070591509
2023-10-18,44.0,41.333333333333336,43.08095238095238,39.61904761904763,42.92940949735606,40.06381282609349,44.94220893494412,43.862452432029386,42.98659159243107,40.83843604288995
2023-10-24,43.6,42.0,42.92857142857143,40.11904761904763,43.097057123017045,40.54785961957012,44.95373900971845,43.905568410622436,43.01916345953941,40.91408943384886
2023-10-26,44.92857142857143,44.0,43.132653061224495,40.6904761904762,43.55493569940565,41.41089471467759,44.957582367976556,43.91994040348709,43.03023525699973,40.93963892944157
2023-11-03,43.032558139534885,44.25,43.508732795443755,41.9404761904762,43.42434130943796,42.12067103600819,44.97295580100922,43.97742837494479,43.07559499051422,41.043495412915945
2023-11-11,41.825,31.5,43.19801850972948,40.72619047619048,43.024505982078466,39.46550327700614,44.98832923404166,44.0349163464025,43.12267079204321,41.15000549145043
2023-11-13,44.18888888888889,45.0,43.51071692242789,41.29761904761905,43.315601708781074,40.849127457754605,44.99217259229977,44.04928833926715,43.13470787834376,41.177047634497285
2023-11-14,39.72222222222222,47.2,43.04246295417392,42.18333333333334,42.417256837141366,42.43684559331595,44.99409427142882,44.05647433569902,43.140766642056406,41.190630899742246
2023-11-16,45.375,41.333333333333336,43.23889152560249,42.18333333333334,43.156692627856025,42.1609675283203,44.99793762968693,44.070846328563675,43.15296460967511,41.21792181953788
2023-11-20,43.5,40.0,43.22460581131678,41.89761904761905,43.24251947089202,41.620725646240224,45.00562434620315,44.09959031429298,43.1776823066175,41.273001205176115
2023-12-19,42.0,42.0,42.806238464378,41.61190476190477,42.93188960316901,41.715544234680166,45.06135304094596,44.30798421082727,43.369715901091695,41.69216652400792
2024-01-24,43.42857142857143,39.0,42.86281179138323,40.86190476190477,43.05606005951962,41.03665817601012,45.13053348959215,44.56668008238739,43.63947429973632,42.26102072559297
2024-01-31,45.0,42.0,43.31638321995465,42.36190476190477,43.54204504463972,41.27749363200759,45.143985243495536,44.616982057413225,43.69596276152879,42.37787135876715
2024-02-14,43.622727272727275,42.7,43.23550298907442,42.03333333333334,43.562215601661606,41.633120224005694,45.17088875130253,44.71758600746398,43.81288128066808,42.617667604237795
2024-02-16,47.7375,40.46666666666667,44.380542671614094,41.07142857142857,44.60603670124621,41.34150683467094,45.17473210956064,44.73195800032863,43.83001294359565,42.65258761122823
2024-02-19,45.0,39.599999999999994,44.32697124304267,40.82380952380952,44.70452752593466,40.906130126003205,45.1804971469478,44.75351598962516,43.85591153986752,42.70527858659625
2024-02-24,44.300000000000004,43.6,44.441256957328385,41.33809523809524,44.603395644451,41.5795975945024,45.19010554259307,44.789445971786336,43.89961213618517,42.79392612911761
2024-02-28,44.86666666666667,41.5,44.850780766852196,41.266666666666666,44.66921340000492,41.559698195876805,45.19779225910929,44.81818995751564,43.935055256821215,42.8655904866755
2024-03-11,48.573913043478264,38.0,45.585829568981744,41.12380952380953,45.64538831087325,40.6697736469076,45.220852408658175,44.90442191470265,44.04395872540772,43.08456395380199
2024-03-14,44.92857142857143,41.0,45.57562548734909,40.98095238095238,45.4661840902978,40.7523302351807,45.22661744604534,44.92597990399918,44.07178789656609,43.14024022594094
2024-03-25,43.81818181818182,45.0,45.60354756527117,41.3095238095238,45.0541835222688,41.81424767638553,45.24775591646494,45.00502586475341,44.1758928373456,43.347579162567854
2024-04-16,45.63157894736842,43.0,45.30270170060952,41.67142857142857,45.1985323785437,42.11068575728915,45.29003285730437,45.163117786262774,44.39383604191244,43.77730789594352
2024-04-22,44.083333333333336,39.0,45.17174931965714,41.58571428571429,44.91973261724112,41.33301431796686,45.301562932078696,45.206233764855824,44.45552743691951,43.897989485412836
2024-05-12,46.8125,42.0,45.53067789108571,41.357142857142854,45.392924462930836,41.499760738475146,45.339996514660015,45.34995369350054,44.66813694499433,44.31104168109596
2024-05-13,44.93103448275862,42.5,45.53987329338456,41.5,45.277451967887785,41.74982055385636,45.34191819378907,45.35713968993241,44.6790489628911,44.3321296479553
2024-05-15,44.44444444444444,41.0,44.949949207808295,41.92857142857143,45.06920008702696,41.56236541539227,45.34576155204718,45.37151168279706,44.70095343980938,44.374429965391755
2024-06-24,42.90588235294118,42.0,44.660993625575394,42.07142857142857,44.52837065350551,41.671774061544205,45.42262871720959,45.65895154008649,45.16156635712832,45.2552647665143
2024-06-28,45.233333333333334,45.0,44.8631581277399,42.07142857142857,44.70461132346247,42.503830546158156,45.43031543372581,45.68769552581489,45.20998724270612,45.3469969406724
2024-06-30,44.87407407407407,42.5,44.75494314584072,42.0,44.746977011115376,42.50287290961862,45.43415879198392,45.70206751867954,45.23435856588185,45.39311180263758
2024-07-01,48.64705882352941,45.0,45.406903930154435,42.857142857142854,45.72199746421889,43.12715468221396,45.43608047111297,45.70925351511232,45.24658444803208,45.416231425479054
2024-07-02,42.63055555555556,40.0,44.809483295233804,42.57142857142857,44.94913698705306,42.345366011660474,45.43800215024203,45.716439511544195,45.25883714389056,45.4393925126642
2024-07-03,43.733333333333334,42.0,44.63838313103019,42.5,44.64518607362312,42.259024508745355,45.43992382937108,45.72362550797607,45.271116653457284,45.462595062330365
